providedId	providedName	resolvedId	resolvedName
	WD:Q36602	WD:Q36602	order
	WD:Q36732	WD:Q36732	kingdom
	WD:Q37517	WD:Q37517	class
	WD:Q3825509	WD:Q3825509	forma specialis
	WD:Q38348	WD:Q38348	phylum
	WD:Q3965313	WD:Q3965313	subtribe
	WD:Q3978005	WD:Q3978005	superphylum
	WD:Q5867051	WD:Q5867051	subclass
	WD:Q5867959	WD:Q5867959	suborder
	WD:Q5868144	WD:Q5868144	superorder
	WD:Q6054237	WD:Q6054237	magnorder
	WD:Q6054425	WD:Q6054425	supercohort
	WD:Q6054535	WD:Q6054535	infralegion
	WD:Q6054637	WD:Q6054637	sublegion
	WD:Q6054795	WD:Q6054795	superlegion
	WD:Q6311258	WD:Q6311258	parvorder
	WD:Q6462265	WD:Q6462265	grandorder
	WD:Q6541077	WD:Q6541077	subcohort
	WD:Q68947	WD:Q68947	subspecies
	WD:Q7432	WD:Q7432	species
	WD:Q7504331	WD:Q7504331	legion
	WD:Q7506274	WD:Q7506274	mirorder
	WD:Q767728	WD:Q767728	variety
	zoosection	WD:Q10861426	section
	zoosubsection	WD:Q10861375	subsection
